Genotype,SnakeMuscle,Baseline_force,Fmax,Time_to_Fmax,Time_to_0.1Fmax,Time_to_0.5relax,Contraction_Duration_10_to_50,dFdtmax,dFdtmin,Time_to_dFdtmax,Time_to_dFdtmin,Contraction_Duration_max_to_min,MAMU,SVLmm,MuscleMass,BodyMass,Days_in_Captivity,Sex
WTs,CRF2417-M2,0.657601572,0.348050399,29.4,6.4,55.3,48.9,21.61216416,-8.103077681,9.8,43.5,33.7,18.5,,0.0597,32.6,132,
WTs,CRF2458C-M1,0.098227201,0.333385073,29.6,8.5,44.9,36.4,20.72522673,-13.15659594,15.5,41.8,26.3,16.2,,0.0316,,717,
WTs,CRF2458D-M1,0.098227201,0.916084201,29.6,8.5,44.9,36.4,56.94931866,-36.15203753,15.5,41.8,26.3,30.5,,0.0115,,672,
WTs,CRF2459-M1,0.485391628,0.091316533,18.7,4.8,39.1,34.3,15.13190484,-8.36782592,6.4,119.3,112.9,6.9,,0.0486,42.1,96,
WTs,CRF2462C-M1,0.057752353,0.686518338,40,10.8,55.2,44.4,35.1612433,-28.31965726,25.3,56.1,30.8,30.5,,0.0094,,686,
WTs,CRF2519E-M1,0.400215089,0.275148297,21.3,5.4,35.8,30.4,19.99142161,-11.69637129,11.5,33.9,22.4,13.8,,0.0101,,232,
WTs,CRF2523D-M1,0.289173134,0.766412492,29.1,8.6,46.5,37.9,49.7266682,-28.59237876,15.1,40.3,25.2,36,,0.015,,,
WTs,CRF2523G-M1,0.381601148,0.501371831,22.4,7,36.5,29.5,40.96898907,-21.09598476,12.4,30.5,18.1,36,,0.0184,,225,
WTs,CRF3041-M1,0.36131192,0.111944118,29.1,1.2,35.9,34.7,19.46975959,-18.64667171,18.9,43.5,24.6,2.8,240,0.025,6,314,
WTs,CRF3215-M1,1.362125548,0.876212579,22,4.4,37.2,32.8,85.51017696,-47.63175249,5.5,28.7,23.2,6.703,490,0.0123,21.83,509,F
WTs,CRF3311-M1,1.417800507,0.415701075,30.9,4.5,52.8,48.3,24.66087959,-11.87885167,5.2,43.7,38.5,1.588,29.5,0.0296,9.9,189,M
WTs,EJE190-M1,0.273298194,0.139715801,25.4,0.4,34.4,34,8.002703166,-6.036934475,14.5,36.6,22.1,2.9,260,0.0258,9,266,
WTs,EJE191-M1,0.179837266,0.160821075,32.1,1.4,44.6,43.2,8.151366629,-6.820720792,18.8,45.2,26.4,4.5,360,0.0298,15,257,
WTs,MTJH381-M3,2.578379085,0.450604451,51.1,8.1,98.4,90.3,16.71505798,-6.811178756,8.7,76.1,67.4,4.16,395,0.068,28.56,584,M
WTs,MTJH384-M1,1.650986408,0.486939222,31.3,6.6,75.4,68.8,31.36312415,-7.379702317,7.2,54,46.8,5.45,430,0.0446,26.18,604,F
WTs,MTJH390-M2,1.556549384,0.267020275,35.3,8.9,58.1,49.2,15.08954023,-7.446095131,11.1,47.6,36.5,2.4,500,0.04,47.5,551,F
WTs,MTJH394-M1,1.587442917,0.490089041,25.9,4.7,48.2,43.5,35.15899128,-13.98690924,6.3,37.8,31.5,2.43,420,0.0292,23.34,558,M
WTs,MTJH399-M1,1.581902658,0.126806443,27.6,7,53.8,46.8,9.910435453,-3.107764881,10.5,40.7,30.2,2.54,,0.0433,,460,F
WTs,MTJH402-M3,1.490899467,0.275980863,34.3,8.8,54.5,45.7,14.55368259,-8.689349381,12.4,47.6,35.2,10.56,,0.0516,,453,F
WTs,MTJH430-M1,2.741388774,0.082753313,24.5,6.5,46.1,39.6,7.038595038,-2.355930568,9.6,36.7,27.1,17.4,,0.1403,,449,F
WTs,REdC10-M1,2.579032751,0.480500784,44,13.8,65.7,51.9,35.57406172,-30.48103991,29.7,60.9,31.2,37.7,480,0.0848,36,377,F
WTs,REdC4-M1,0.489904354,0.140043371,39.5,13.2,55.1,41.9,6.604569645,-6.647202192,24.4,56,31.6,3.7,510,0.1171,76,363,F
WTs,Wills06-M1,0.229626933,0.224093145,41.9,13.4,75.4,62,9.703384078,-4.530468495,24,57.4,33.4,3.2,,0.05,27.1,66,
WTs,CRF2417-M2,0.670134553,0.345991662,29.4,6.5,55.3,48.8,21.61216416,-8.103077681,9.8,43.5,33.7,,,,,,
WTs,CRF2458C-M1,0.095330991,0.334283874,29.6,8.5,44.9,36.4,20.72522673,-13.15659594,15.5,41.8,26.3,,,,,,
WTs,CRF2458D-M1,0.095330991,0.918553951,29.6,8.5,44.9,36.4,56.94931866,-36.15203753,15.5,41.8,26.3,,,,,,
WTs,CRF2459-M1,0.489532929,0.090480889,18.7,4.9,39.1,34.2,15.13190484,-8.36782592,6.4,119.3,112.9,,,,,,
WTs,CRF2462C-M1,0.062361296,0.681710009,40,11.1,54.7,43.6,35.1612433,-28.31965726,25.3,56.1,30.8,,,,,,
WTs,CRF2519E-M1,0.402827639,0.272611627,21.3,5.4,35.8,30.4,19.99142161,-11.69637129,11.5,33.9,22.4,,,,,,
WTs,CRF2523D-M1,0.298516079,0.760304293,29.1,9,46.5,37.5,49.7266682,-28.59237876,15.1,40.3,25.2,,,,,,
WTs,CRF2523G-M1,0.384553919,0.499798092,22.4,7,36.4,29.4,40.96898907,-21.09598476,12.4,30.5,18.1,,,,,,
WTs,CRF3041-M1,0.360608403,0.112220084,29.1,1.2,35.9,34.7,19.46975959,-18.64667171,18.9,43.5,24.6,,,,,,
WTs,CRF3215-M1,1.345583252,0.889401563,22,4.1,37.6,33.5,85.51017696,-47.63175249,5.5,28.7,23.2,,,,,,
WTs,CRF3311-M1,1.418958091,0.415317561,30.9,4.5,52.8,48.3,24.66087959,-11.87885167,5.2,43.7,38.5,,,,,,
WTs,EJE190-M1,0.278034393,0.137915559,25.4,0.4,34.4,34,8.00272264,-6.036938537,14.5,36.6,22.1,,,,,,
WTs,EJE191-M1,0.174927733,0.162436714,32.1,0.7,44.7,44,8.151366629,-6.820720792,18.8,45.2,26.4,,,,,,
WTs,MTJH381-M3,2.569317837,0.451911222,51.1,8.1,98.5,90.4,16.71505798,-6.811178756,8.7,76.1,67.4,,,,,,
WTs,MTJH384-M1,1.734085167,0.468667462,31.3,7.1,73,65.9,31.36312415,-7.379702317,7.2,54,46.8,,,,,,
WTs,MTJH390-M2,1.532369278,0.272948421,35.3,8.4,58.3,49.9,15.08954023,-7.446095131,11.1,47.6,36.5,,,,,,
WTs,MTJH394-M1,1.591177333,0.488834859,25.9,4.7,48.1,43.4,35.15899128,-13.98690924,6.3,37.8,31.5,,,,,,
WTs,MTJH399-M1,1.563094322,0.131066184,27.6,6.7,54.2,47.5,9.910435453,-3.107764881,10.5,40.7,30.2,,,,,,
WTs,MTJH402-M3,1.470533687,0.279851407,34.3,8.5,54.8,46.3,14.55368259,-8.689349381,12.4,47.6,35.2,,,,,,
WTs,MTJH430-M1,2.775533639,0.080366665,24.5,7.1,45.5,38.4,7.038595038,-2.355930568,9.6,36.7,27.1,,,,,,
WTs,REdC10-M1,2.61294426,0.476579106,44,13.9,65.7,51.8,35.57406172,-30.48103991,29.7,60.9,31.2,,,,,,
WTs,REdC4-M1,0.500568681,0.139150277,39.5,13.2,55.1,41.9,6.604569645,-6.647202192,24.4,56,31.6,,,,,,
WTs,Wills06-M1,0.236410842,0.222762597,41.9,13.5,74.5,61,9.703384078,-4.530468495,24,57.4,33.4,,,,,,
WTs,CRF2417-M2,0.668840172,0.346204285,29.4,6.5,55.3,48.8,21.61216416,-8.103077681,9.8,43.5,33.7,,,,,,
WTs,CRF2458C-M1,0.08549712,0.337335689,29.6,8.3,45,36.7,20.72522673,-13.15659594,15.5,41.8,26.3,,,,,,
WTs,CRF2458D-M1,0.08549712,0.926939806,29.6,8.3,45,36.7,56.94931866,-36.15203753,15.5,41.8,26.3,,,,,,
WTs,CRF2459-M1,0.490815535,0.090222081,18.7,4.9,37.4,32.5,15.13190484,-8.36782592,6.4,119.3,112.9,,,,,,
WTs,CRF2462C-M1,0.065760083,0.678164188,40,11.1,54.7,43.6,35.1612433,-28.31965726,25.3,56.1,30.8,,,,,,
WTs,CRF2519E-M1,0.402613302,0.272819739,21.3,5.4,35.8,30.4,19.99142161,-11.69637129,11.5,33.9,22.4,,,,,,
WTs,CRF2523D-M1,0.299805101,0.75946156,29.1,9,46.5,37.5,49.7266682,-28.59237876,15.1,40.3,25.2,,,,,,
WTs,CRF2523G-M1,0.384951431,0.49958623,22.4,7,36.4,29.4,40.96898907,-21.09598476,12.4,30.5,18.1,,,,,,
WTs,CRF3041-M1,0.359512492,0.112649972,29.1,1.2,35.9,34.7,19.46975959,-18.64667171,18.9,43.5,24.6,,,,,,
WTs,CRF3215-M1,1.333588124,0.898965142,22,4,37.6,33.6,85.51017696,-47.63175249,5.5,28.7,23.2,,,,,,
WTs,CRF3311-M1,1.417902291,0.415667354,30.9,4.5,52.8,48.3,24.66087959,-11.87885167,5.2,43.7,38.5,,,,,,
WTs,EJE190-M1,0.278801403,0.137624016,25.4,0.4,34.4,34,8.002703166,-6.036934475,14.5,36.6,22.1,,,,,,
WTs,EJE191-M1,0.172010229,0.163396813,32.1,0.7,44.7,44,8.151482085,-6.8207567,18.8,45.2,26.4,,,,,,
WTs,MTJH381-M3,2.54509211,0.455404946,51.1,7.7,99.1,91.4,16.71505798,-6.811178756,8.7,76.1,67.4,,,,,,
WTs,MTJH384-M1,1.769344146,0.460914717,31.3,7.3,71.8,64.5,31.36312415,-7.379702317,7.2,54,46.8,,,,,,
WTs,MTJH390-M2,1.514512805,0.277326226,35.3,8.2,58.4,50.2,15.08954023,-7.446095131,11.1,47.6,36.5,,,,,,
WTs,MTJH394-M1,1.589598835,0.489364988,25.9,4.7,48.2,43.5,35.15899128,-13.98690924,6.3,37.8,31.5,,,,,,
WTs,MTJH399-M1,1.55775606,0.132275202,27.6,6.3,54.2,47.9,9.910435453,-3.107764881,10.5,40.7,30.2,,,,,,
WTs,MTJH402-M3,1.456526246,0.28251354,34.3,8.2,55.1,46.9,14.55368259,-8.689349381,12.4,47.6,35.2,,,,,,
WTs,MTJH430-M1,2.769997817,0.080753606,24.5,7.1,45.5,38.4,7.038595038,-2.355930568,9.6,36.7,27.1,,,,,,
WTs,REdC10-M1,2.615146995,0.476324372,44,13.9,65.7,51.8,35.57406172,-30.48103991,29.7,60.9,31.2,,,,,,
WTs,REdC4-M1,0.506023613,0.138693448,39.5,13.5,55.1,41.6,6.604569645,-6.647202192,24.4,56,31.6,,,,,,
WTs,Wills06-M1,0.231247049,0.223775387,41.9,13.4,75.3,61.9,9.703384078,-4.530468495,24,57.4,33.4,,,,,,
WTs,CRF2417-M2,0.66580421,0.346702988,29.4,6.4,55.3,48.9,21.61216416,-8.103077681,9.8,43.5,33.7,,,,,,
WTs,CRF2458C-M1,0.077373292,0.339856813,29.6,8.3,45,36.7,20.72522673,-13.15659594,15.5,41.8,26.3,,,,,,
WTs,CRF2458D-M1,0.077373292,0.933867418,29.6,8.3,45,36.7,56.94931866,-36.15203753,15.5,41.8,26.3,,,,,,
WTs,CRF2459-M1,0.49362062,0.089656063,18.7,4.9,37.4,32.5,15.13190484,-8.36782592,6.4,119.3,112.9,,,,,,
WTs,CRF2462C-M1,0.066805824,0.677073208,40,11.1,54.7,43.6,35.1612433,-28.31965726,25.3,56.1,30.8,,,,,,
WTs,CRF2519E-M1,0.402024238,0.273391693,21.3,5.4,35.8,30.4,19.99142161,-11.69637129,11.5,33.9,22.4,,,,,,
WTs,CRF2523D-M1,0.301108743,0.758609269,29.1,9,46.5,37.5,49.7266682,-28.59237876,15.1,40.3,25.2,,,,,,
WTs,CRF2523G-M1,0.383648783,0.500280503,22.4,7,36.5,29.5,40.96898907,-21.09598476,12.4,30.5,18.1,,,,,,
WTs,CRF3041-M1,0.358386063,0.113091832,29.1,1.2,35.9,34.7,19.46975959,-18.64667171,18.9,43.5,24.6,,,,,,
WTs,CRF3215-M1,1.322595879,0.907729134,22,3.6,37.6,34,85.51017696,-47.63175249,5.5,28.7,23.2,,,,,,
WTs,CRF3311-M1,1.415619278,0.416423729,30.9,4.5,52.8,48.3,24.66087959,-11.87885167,5.2,43.7,38.5,,,,,,
WTs,EJE190-M1,0.278978866,0.137556562,25.4,0.4,34.4,34,8.002703166,-6.036934475,14.5,36.6,22.1,,,,,,
WTs,EJE191-M1,0.169974345,0.164066786,32.1,0.7,44.7,44,8.151482085,-6.8207567,18.8,45.2,26.4,,,,,,
WTs,MTJH381-M3,2.520105592,0.459008388,51.1,7.6,99.4,91.8,16.71505798,-6.811178756,8.7,76.1,67.4,,,,,,
WTs,MTJH384-M1,1.785349534,0.457395451,31.3,7.4,71.3,63.9,31.36312415,-7.379702317,7.2,54,46.8,,,,,,
WTs,MTJH390-M2,1.504428766,0.279798492,35.3,8,58.9,50.9,15.08954023,-7.446095131,11.1,47.6,36.5,,,,,,
WTs,MTJH394-M1,1.586611349,0.490368318,25.9,4.7,48.2,43.5,35.15899128,-13.98690924,6.3,37.8,31.5,,,,,,
WTs,MTJH399-M1,1.556349701,0.132593716,27.6,6,54.2,48.2,9.910435453,-3.107764881,10.5,40.7,30.2,,,,,,
WTs,MTJH402-M3,1.447429527,0.284242384,34.3,7.9,55.1,47.2,14.55368259,-8.689349381,12.4,47.6,35.2,,,,,,
WTs,MTJH430-M1,2.768624928,0.080849568,24.5,7.1,46.1,39,7.038595038,-2.355930568,9.6,36.7,27.1,,,,,,
WTs,REdC10-M1,2.611524775,0.476743261,44,13.9,65.7,51.8,35.57406172,-30.48103991,29.7,60.9,31.2,,,,,,
WTs,REdC4-M1,0.511446291,0.138239321,39.5,13.6,55,41.4,6.604569645,-6.647202192,24.4,56,31.6,,,,,,
WTs,Wills06-M1,0.227416377,0.224526708,41.9,13.4,75.4,62,9.703384078,-4.530468495,24,57.4,33.4,,,,,,
WTa,CRF3359-M1,2.370827614,0.223667247,21.9,5.1,38.7,33.6,20.6702618,-9.122870049,6.2,33.5,27.3,0.9928718,535,0.1895,68.73,206,F
WTa,CRF3605-M1,2.160301275,0.215355417,34.7,11.6,66.5,54.9,14.35621783,-4.035937162,15.3,53.1,37.8,0.848,415,0.0477,25,28,M
WTa,CRF3606-M1,1.395675796,0.269178309,35.1,11.7,58.1,46.4,21.04818492,-12.64626806,12.1,58,45.9,0.87,340,0.0412,15,30,
WTa,CRF3607-M1,4.140985593,0.093669191,36.8,11.6,53.4,41.8,6.418557749,-4.367085331,13.8,48,34.2,1.68,600,0.1572,133,30,F
WTa,CRF3608-M1,1.85975056,0.19853459,36.7,9.9,94.8,84.9,21.02565284,-12.64535807,12.7,65.8,53.1,0.92,350,0.0336,18,34,
WTa,CRF3609-M2,1.837334768,0.160573208,36.6,9.6,66.8,57.2,16.01428984,-14.12376562,11.3,,-11.2,1.8,570,0.0755,62,34,M
WTa,CRF3610-M1,4.965200716,0.528626252,34.2,10.2,58.9,48.7,32.7059178,-13.4687075,11.8,48.8,37,1.8,690,0.0864,54,63,
WTa,CRF3611-M1,6.949695765,0.386183597,40.8,12.3,67,54.7,19.84965389,-9.924271548,14.4,54.1,39.7,1.15,560,0.1323,93,39,F
WTa,CRF3613-M1,4.65391423,0.8184375,40.4,9.4,80.5,71.1,44.5883201,-13.08230112,10.5,69.9,59.4,0.86,445,0.0566,26,69,M
WTa,CRF3614-M1,5.620938426,0.308254649,30.7,9.5,49.1,39.6,20.71245401,-11.23510595,10.7,42.5,31.8,1.03,550,0.113,95,40,
WTa,CRF3615-M1,2.228969531,0.475328931,48.4,13.6,85.8,72.2,24.02173739,-12.85831103,15.2,72.6,57.4,1.79,570,0.0886,94,41,F
WTa,CRF3617-M2,2.777456429,0.406739552,41.6,11.7,72.3,60.6,18.65348521,-8.562207657,17.4,65,47.6,0.98,415,0.0427,31,80,
WTa,CRF3618-M1,3.260831361,0.713508614,32.6,8.5,58.9,50.4,59.06283448,-18.70851505,8.5,44.3,35.8,1.85,455,0.1221,40,81,
WTa,CRF3619-M1,3.104192502,0.385537213,31.2,9.9,53.9,44,29.42745664,-11.59273527,11.7,40.7,29,1.6,570,0.1218,72,83,M
WTa,CRF3620-M1,3.018899997,0.928942291,47.8,9.4,78.4,69,47.04953538,-19.67862345,8.8,66.4,57.6,1.56,510,0.0692,60,85,
WTa,CRF3621-M1,3.629066503,0.754590156,49.6,10.6,93.4,82.8,32.93855486,-11.25287213,13.7,81.7,68,1.89,630,0.0623,63,68,M
WTa,CRF3359-M1,2.357428252,0.224360666,21.9,5.1,38.7,33.6,20.6702618,-9.122870049,6.2,33.5,27.3,,,,,,
WTa,CRF3605-M1,2.133935934,0.220775871,34.7,11.3,66.5,55.2,14.35621783,-4.035937162,15.3,53.1,37.8,,,,,,
WTa,CRF3606-M1,1.383891548,0.271983261,35.1,11.4,58.1,46.7,21.04818492,-12.64626806,12.1,58,45.9,,,,,,
WTa,CRF3607-M1,4.052562721,0.099185299,36.8,10.2,54.3,44.1,6.418557749,-4.367085331,13.8,48,34.2,,,,,,
WTa,CRF3608-M1,1.867432198,0.196292592,36.7,9.9,94.7,84.8,21.02565284,-12.64535807,12.7,65.8,53.1,,,,,,
WTa,CRF3609-M2,1.830687977,0.161436556,36.6,9.6,66.8,57.2,16.01428984,-14.12376562,11.3,,-11.2,,,,,,
WTa,CRF3610-M1,4.919436873,0.533820581,34.2,10,59,49,32.7059178,-13.4687075,11.8,48.8,37,,,,,,
WTa,CRF3611-M1,6.813839845,0.396253827,40.8,11.8,67.8,56,19.84965389,-9.924271548,14.4,54.1,39.7,,,,,,
