Genotype,SnakeMuscle,Baseline_force,Fmax,Time_to_Fmax,Time_to_0.1Fmax,Time_to_0.5relax,Contraction_Duration_10_to_50,dFdtmax,dFdtmin,Time_to_dFdtmax,Time_to_dFdtmin,Contraction_Duration_max_to_min,MAMU,SVLmm,MuscleMass,BodyMass,Days_in_Captivity,Sex
WTa,CRF3613-M1,4.53474802,0.839084519,40.4,9,81.6,72.6,44.5883201,-13.08230112,10.5,69.9,59.4,,,,,,
WTa,CRF3614-M1,5.622341442,0.308132889,30.7,9.5,49.1,39.6,20.71245401,-11.23510595,10.7,42.5,31.8,,,,,,
WTa,CRF3615-M1,2.23298503,0.474884477,48.4,13.6,85.3,71.7,24.02173739,-12.85831103,15.2,72.6,57.4,,,,,,
WTa,CRF3617-M2,2.753426785,0.412258295,41.6,11.6,72.4,60.8,18.65348521,-8.562207657,17.4,65,47.6,,,,,,
WTa,CRF3618-M1,3.278184927,0.712114835,32.6,8.5,58.8,50.3,59.06283448,-18.70851505,8.5,44.3,35.8,,,,,,
WTa,CRF3619-M1,3.065226501,0.388674536,31.2,9.7,54,44.3,29.42745664,-11.59273527,11.7,40.7,29,,,,,,
WTa,CRF3620-M1,2.865720122,0.950650115,47.8,9,79,70,47.04953538,-19.67862345,8.8,66.4,57.6,,,,,,
WTa,CRF3621-M1,3.564428859,0.764764775,49.6,10.4,94.1,83.7,32.93855486,-11.25287213,13.7,81.7,68,,,,,,
WTa,CRF3359-M1,2.350519989,0.224718169,21.9,5.1,38.8,33.7,20.6702618,-9.122870049,6.2,33.5,27.3,,,,,,
WTa,CRF3605-M1,2.144438759,0.218616594,34.7,11.4,66.5,55.1,14.35621783,-4.035937162,15.3,53.1,37.8,,,,,,
WTa,CRF3606-M1,1.373191063,0.274530249,35.1,11.2,58.1,46.9,21.04818492,-12.64626806,12.1,58,45.9,,,,,,
WTa,CRF3607-M1,4.060859031,0.098667748,36.8,10.3,53.9,43.6,6.418557749,-4.367085331,13.8,48,34.2,,,,,,
WTa,CRF3608-M1,1.861239272,0.198100088,36.7,9.9,94.8,84.9,21.02565284,-12.64535807,12.7,65.8,53.1,,,,,,
WTa,CRF3609-M2,1.8221032,0.162551627,36.6,9.5,66.8,57.3,16.01428984,-14.12376562,11.3,,-11.2,,,,,,
WTa,CRF3610-M1,5.017065565,0.522739442,34.2,10.3,58.3,48,32.7059178,-13.4687075,11.8,48.8,37,,,,,,
WTa,CRF3611-M1,6.712898518,0.403736036,40.8,11.4,68.1,56.7,19.84965389,-9.924271548,14.4,54.1,39.7,,,,,,
WTa,CRF3613-M1,4.451116358,0.853574739,40.4,8.7,82.3,73.6,44.5883201,-13.08230112,10.5,69.9,59.4,,,,,,
WTa,CRF3614-M1,5.589320466,0.310998598,30.7,9.4,49.2,39.8,20.71245401,-11.23510595,10.7,42.5,31.8,,,,,,
WTa,CRF3615-M1,2.216618875,0.476695957,48.4,13.6,85.8,72.2,24.02173739,-12.85831103,15.2,72.6,57.4,,,,,,
WTa,CRF3617-M2,2.727309198,0.418256563,41.6,11.6,72.4,60.8,18.65348521,-8.562207657,17.4,65,47.6,,,,,,
WTa,CRF3618-M1,3.287512427,0.711365683,32.6,8.5,58.8,50.3,59.06283448,-18.70851505,8.5,44.3,35.8,,,,,,
WTa,CRF3619-M1,3.023319786,0.392048628,31.2,9.7,54.1,44.4,29.42745664,-11.59273527,11.7,40.7,29,,,,,,
WTa,CRF3620-M1,2.772969023,0.963794299,47.8,8.7,79.5,70.8,47.04953538,-19.67862345,8.8,66.4,57.6,,,,,,
WTa,CRF3621-M1,3.501149651,0.774725562,49.6,10,94.7,84.7,32.93855486,-11.25287213,13.7,81.7,68,,,,,,
WTa,CRF3359-M1,2.334575099,0.225543319,21.9,5,38.8,33.8,20.6702618,-9.122870049,6.2,33.5,27.3,,,,,,
WTa,CRF3605-M1,2.153798139,0.216692397,34.7,11.6,66.5,54.9,14.35621783,-4.035937162,15.3,53.1,37.8,,,,,,
WTa,CRF3606-M1,1.362134598,0.277161969,35.1,10.5,58.3,47.8,21.04818492,-12.64626806,12.1,58,45.9,,,,,,
WTa,CRF3607-M1,4.088045545,0.096971764,36.8,10.7,53.9,43.2,6.418557749,-4.367085331,13.8,48,34.2,,,,,,
WTa,CRF3608-M1,1.8542621,0.200136477,36.7,9.8,94.8,85,21.02565284,-12.64535807,12.7,65.8,53.1,,,,,,
WTa,CRF3609-M2,1.814189692,0.163579508,36.6,9.3,67.1,57.8,16.01428984,-14.12376562,11.3,,-11.2,,,,,,
WTa,CRF3610-M1,5.030283746,0.52123914,34.2,10.4,58.3,47.9,32.7059178,-13.4687075,11.8,48.8,37,,,,,,
WTa,CRF3611-M1,6.621605825,0.410503046,40.8,11,68.6,57.6,19.84965389,-9.924271548,14.4,54.1,39.7,,,,,,
WTa,CRF3613-M1,4.377688143,0.866297085,40.4,8.3,82.7,74.4,44.5883201,-13.08230112,10.5,69.9,59.4,,,,,,
WTa,CRF3614-M1,5.538641635,0.315396736,30.7,9.2,49.3,40.1,20.71245401,-11.23510595,10.7,42.5,31.8,,,,,,
WTa,CRF3615-M1,2.202250002,0.47828637,48.4,13.5,86.2,72.7,24.02173739,-12.85831103,15.2,72.6,57.4,,,,,,
WTa,CRF3617-M2,2.703270859,0.423777302,41.6,10.6,73.4,62.8,18.65348521,-8.562207657,17.4,65,47.6,,,,,,
WTa,CRF3618-M1,3.273298676,0.712507282,32.6,8.5,58.9,50.4,59.06283448,-18.70851505,8.5,44.3,35.8,,,,,,
WTa,CRF3619-M1,2.981544911,0.395412106,31.2,9.5,54.5,45,29.42745664,-11.59273527,11.7,40.7,29,,,,,,
WTa,CRF3620-M1,2.70750761,0.973071137,47.8,8.6,79.6,71,47.04953538,-19.67862345,8.8,66.4,57.6,,,,,,
WTa,CRF3621-M1,3.454109472,0.782130162,49.6,9.8,95,85.2,32.93855486,-11.25287213,13.7,81.7,68,,,,,,
LVNV,CRF2399-M1,0.647564346,0.078178018,23.8,6.5,35.6,29.1,5.649620036,-3.978875459,13.2,33.9,20.7,250,,0.0617,68.6,779,F
LVNV,CRF2941-M1,0.377839825,0.052476739,31.2,10.7,42.4,31.7,2.964298768,-2.882998607,19.3,43.3,24,,,0.0722,,48,
LVNV,CRF3275-M1,2.35465096,0.141464814,37.5,9.5,59.8,50.3,6.190614394,-4.189450299,14.3,50.4,36.1,5426.85,480,0.1401,71.56,270,F
LVNV,HOP02-M2,0.085803024,0.059142521,35.8,9.3,63.3,54,3.230212011,-1.252728398,16.5,45.9,29.4,250,,0.1106,35.4,198,
LVNV,REdC1-M1,1.157416223,0.12082603,26.6,7.7,47.1,39.4,9.103802357,-3.439462123,11,41.4,30.4,250,500,0.0772,49,370,M
LVNV,REdC2-M1,0.740709927,0.063964932,55.4,15.1,78.8,63.7,9.190311028,-11.90853826,26.8,,123.2,250,540,0.1212,70,371,M
LVNV,REdC5-M1,1.015129774,0.077774957,39.4,10.8,59,48.2,9.275156277,-15.69120897,150,,-149.9,250,460,0.11,49,373,M
LVNV,REdC6-M1,0.603886756,0.051218756,31.5,8.6,47,38.4,2.870629389,-1.745145132,16.7,43.1,26.4,250,510,0.1008,54,385,M
LVNV,REdC7-M1,0.730172752,0.030408422,39.3,9.9,62.8,52.9,1.407180191,-0.615886219,22.2,51.8,29.6,250,500,0.1322,78,398,F
LVNV,REdC8-M1,0.789360893,0.111110707,31.4,8.5,42.7,34.2,8.508854907,-6.751093975,15.4,40.4,25,250,480,0.1015,47,368,
LVNV,REdC9-M1,0.856267301,0.084689339,40.9,11.8,58.8,47,7.355886935,-5.889574676,24.9,,-24.2,250,510,0.1333,50,387,M
LVNV,CRF2399-M1,0.650536849,0.077705566,23.8,7.5,35.6,28.1,5.649620036,-3.978875459,13.2,33.9,20.7,,,,,,
LVNV,CRF2941-M1,0.373502964,0.053065798,31.2,9.8,42.4,32.6,2.964298768,-2.882998607,19.3,43.3,24,,,,,,
LVNV,CRF3275-M1,2.324925239,0.14354554,37.5,9.2,60.4,51.2,6.190614394,-4.189450299,14.3,50.4,36.1,,,,,,
LVNV,HOP02-M2,0.114169757,0.056627307,35.8,10.4,60.7,50.3,3.230212011,-1.252728398,16.5,45.9,29.4,,,,,,
LVNV,REdC1-M1,1.146610555,0.122198664,26.6,7,47.6,40.6,9.103802357,-3.439462123,11,41.4,30.4,,,,,,
LVNV,REdC2-M1,0.7214154,0.06552611,55.4,1.1,80.4,79.3,9.190311028,-11.90853826,26.8,,123.2,,,,,,
LVNV,REdC5-M1,1.030060332,0.076443877,39.4,10.9,59,48.1,9.275156277,-15.69120897,150,,-149.9,,,,,,
LVNV,REdC6-M1,0.623718811,0.049289331,31.5,9.4,46.2,36.8,2.870629389,-1.745145132,16.7,43.1,26.4,,,,,,
LVNV,REdC7-M1,0.738671126,0.029778009,39.3,11.9,60.8,48.9,1.407180191,-0.615886219,22.2,51.8,29.6,,,,,,
LVNV,REdC8-M1,0.811968389,0.108926434,31.4,8.9,42.6,33.7,8.508854907,-6.751093975,15.4,40.4,25,,,,,,
LVNV,REdC9-M1,0.857428168,0.084603936,40.9,11.8,58.8,47,7.355886935,-5.889574676,24.9,,-24.2,,,,,,
LVNV,CRF2399-M1,0.652050755,0.077464945,23.8,7.5,35.6,28.1,5.649620036,-3.978875459,13.2,33.9,20.7,,,,,,
LVNV,CRF2941-M1,0.370386358,0.053489115,31.2,9.8,43.1,33.3,2.964298768,-2.882998607,19.3,43.3,24,,,,,,
LVNV,CRF3275-M1,2.302647466,0.145104929,37.5,9,60.5,51.5,6.190614394,-4.189450299,14.3,50.4,36.1,,,,,,
LVNV,HOP02-M2,0.115173146,0.056538339,35.8,10.4,60.7,50.3,3.230212011,-1.252728398,16.5,45.9,29.4,,,,,,
LVNV,REdC1-M1,1.137682748,0.123332756,26.6,6.5,47.6,41.1,9.103802357,-3.439462123,11,41.4,30.4,,,,,,
LVNV,REdC2-M1,0.710456912,0.066412793,55.4,1.1,80.4,79.3,9.190311028,-11.90853826,26.8,,123.2,,,,,,
LVNV,REdC5-M1,1.036020164,0.07591255,39.4,10.9,58.6,47.7,9.275156276,-15.69120897,150,,-149.9,,,,,,
LVNV,REdC6-M1,0.633134068,0.048373338,31.5,10.9,46.2,35.3,2.870629389,-1.745145132,16.7,43.1,26.4,,,,,,
LVNV,REdC7-M1,0.738298502,0.029805651,39.3,11.9,60.8,48.9,1.407180191,-0.615886219,22.2,51.8,29.6,,,,,,
LVNV,REdC8-M1,0.818788742,0.10826747,31.4,9,42.6,33.6,8.508854907,-6.751093975,15.4,40.4,25,,,,,,
LVNV,REdC9-M1,0.857153367,0.084624153,40.9,11.8,58.8,47,7.355886935,-5.889574676,24.9,,-24.2,,,,,,
LVNV,CRF2399-M1,0.652078882,0.077460474,23.8,7.5,35.6,28.1,5.649620036,-3.978875459,13.2,33.9,20.7,,,,,,
LVNV,CRF2941-M1,0.366893481,0.053963539,31.2,9.8,43.1,33.3,2.964298768,-2.882998607,19.3,43.3,24,,,,,,
LVNV,CRF3275-M1,2.286013971,0.146269232,37.5,8.9,60.9,52,6.190614394,-4.189450299,14.3,50.4,36.1,,,,,,
LVNV,HOP02-M2,0.117619203,0.056321453,35.8,10.4,60.6,50.2,3.230212011,-1.252728398,16.5,45.9,29.4,,,,,,
LVNV,REdC1-M1,1.13114447,0.124163308,26.6,6.5,47.6,41.1,9.103802357,-3.439462123,11,41.4,30.4,,,,,,
LVNV,REdC2-M1,0.704131305,0.066924617,55.4,1.1,80.4,79.3,9.190311028,-11.90853826,26.8,,123.2,,,,,,
LVNV,REdC5-M1,1.039659856,0.075588066,39.4,10.9,58.6,47.7,9.275156276,-15.69120897,150,,-149.9,,,,,,
LVNV,REdC6-M1,0.639119909,0.047790986,31.5,10.9,45.4,34.5,2.870629389,-1.745145132,16.7,43.1,26.4,,,,,,
LVNV,REdC7-M1,0.736774024,0.029918737,39.3,9.9,60.8,50.9,1.407180191,-0.615886219,22.2,51.8,29.6,,,,,,
LVNV,REdC8-M1,0.822087221,0.10794878,31.4,9,42.2,33.2,8.508854907,-6.751093975,15.4,40.4,25,,,,,,
LVNV,REdC9-M1,0.855221206,0.084766299,40.9,11.8,58.8,47,7.355886935,-5.889574676,24.9,0.7,-24.2,,,,,,
EPN,CRF3106-M1,0.680382991,0.023946968,32.2,9.5,44.4,34.9,1.308414578,-1.465118326,16.4,45.4,29,250,,0.315,99.1,77,
EPN,CRF3107-M1,0.138722608,0.069855598,23.3,7.9,36.1,28.2,8.313396467,-6.045604901,14.2,32.6,18.4,250,,0.1178,84.3,56,
EPN,CRF3109-M1,0.416270884,0.086676589,26.6,7.2,38.2,31,5.71590244,-5.182320691,15,37.7,22.7,250,,0.1809,99.3,84,
EPN,CRF3111-M1,0.11388592,0.211872116,28.6,9,41.4,32.4,14.57782235,-9.657779768,15.2,39.2,24,250,,0.0338,16.6,44,
EPN,CRF3112-M1,0.212682026,0.36579376,22.3,6.3,35.1,28.8,29.88320093,-27.88306875,11.5,32.7,21.2,250,,0.048,28.4,47,
EPN,EJE125-M1,0.254566459,0.057774565,25.9,6.6,43.4,36.8,3.843585039,-1.663325367,14.6,38.2,23.6,250,,0.0736,63.6,,
EPN,EJE126-M1,0.306404811,0.05896369,28,9.2,46.6,37.4,5.993682026,-4.648797107,14.1,41.4,27.3,250,,0.1579,56.6,,
EPN,JSR012-M1,2.397071077,0.466003947,41.9,11.4,69.1,57.7,22.39490555,-11.80232568,14.2,58.2,44,,450,0.0743,43,36,M
EPN,JSR013-M1,1.619824286,0.22205859,27.9,9,45.2,36.2,19.97972341,-8.479652089,9.9,35.8,25.9,,600,0.219,106,39,F
EPN,JSR037-M1,2.4964912,0.270373724,42.5,12.3,66.5,54.2,14.57222573,-9.29440899,15.3,58,42.7,,580,0.1942,101,41,F
EPN,CRF3106-M1,0.669471489,0.024286667,32.2,9.3,44.6,35.3,1.308414578,-1.465118326,16.4,45.4,29,,,,,,
EPN,CRF3107-M1,0.144554827,0.069370075,23.3,8.1,35.8,27.7,8.313396467,-6.045604901,14.2,32.6,18.4,,,,,,
EPN,CRF3109-M1,0.410919969,0.086966664,26.6,7.2,38.2,31,5.71590244,-5.182320691,15,37.7,22.7,,,,,,
EPN,CRF3111-M1,0.096120443,0.217026548,28.6,9,41.7,32.7,14.57782235,-9.657779768,15.2,39.2,24,,,,,,
EPN,CRF3112-M1,0.212532786,0.365824251,22.3,6.3,35.1,28.8,29.88320093,-27.88306875,11.5,32.7,21.2,,,,,,
EPN,EJE125-M1,0.257852228,0.057336761,25.9,7.7,43.4,35.7,3.843585039,-1.663325367,14.6,38.2,23.6,,,,,,
EPN,EJE126-M1,0.305097924,0.059044857,28,9.2,46.6,37.4,5.993682026,-4.648797107,14.1,41.4,27.3,,,,,,
EPN,JSR012-M1,2.345523532,0.472807563,41.9,11,69.2,58.2,22.39490555,-11.80232568,14.2,58.2,44,,,,,,
EPN,JSR013-M1,1.638068268,0.221241639,27.9,9.1,45.1,36,19.97972341,-8.479652089,9.9,35.8,25.9,,,,,,
EPN,JSR037-M1,2.474795615,0.2714693,42.5,12.2,66.5,54.3,14.57222573,-9.29440899,15.3,58,42.7,,,,,,
EPN,CRF3106-M1,0.661978453,0.024519942,32.2,9.3,44.6,35.3,1.308414578,-1.465118326,16.4,45.4,29,,,,,,
EPN,CRF3107-M1,0.146680707,0.0691931,23.3,8.1,35.8,27.7,8.313396467,-6.045604901,14.2,32.6,18.4,,,,,,
EPN,CRF3109-M1,0.406775996,0.08719131,26.6,7.2,38.2,31,5.71590244,-5.182320691,15,37.7,22.7,,,,,,
EPN,CRF3111-M1,0.083670983,0.220638605,28.6,8.7,42.5,33.8,14.57782235,-9.657779768,15.2,39.2,24,,,,,,
EPN,CRF3112-M1,0.208832275,0.366580284,22.3,6.3,35.1,28.8,29.88320093,-27.88306875,11.5,32.7,21.2,,,,,,
EPN,EJE125-M1,0.258669402,0.057227878,25.9,7.7,43.4,35.7,3.843585039,-1.663325367,14.6,38.2,23.6,,,,,,
EPN,EJE126-M1,0.303661216,0.059134086,28,9.2,46.6,37.4,5.993682026,-4.648797107,14.1,41.4,27.3,,,,,,
EPN,JSR012-M1,2.295548739,0.479403597,41.9,10.8,69.7,58.9,22.39490555,-11.80232568,14.2,58.2,44,,,,,,
EPN,JSR013-M1,1.641969316,0.221066953,27.9,9.1,45.1,36,19.97972341,-8.479652089,9.9,35.8,25.9,,,,,,
EPN,JSR037-M1,2.443984975,0.273025166,42.5,12.2,66.7,54.5,14.57222573,-9.29440899,15.3,58,42.7,,,,,,
EPN,CRF3106-M1,0.659827554,0.024586904,32.2,9.3,44.6,35.3,1.308414578,-1.465118326,16.4,45.4,29,,,,,,
EPN,CRF3107-M1,0.148044149,0.069079595,23.3,8.1,35.8,27.7,8.313396467,-6.045604901,14.2,32.6,18.4,,,,,,
EPN,CRF3109-M1,0.405254895,0.08727377,26.6,7.2,38.2,31,5.71590244,-5.182320691,15,37.7,22.7,,,,,,
EPN,CRF3111-M1,0.075430086,0.223029599,28.6,7.7,42.5,34.8,14.57782235,-9.657779768,15.2,39.2,24,,,,,,
EPN,CRF3112-M1,0.206266236,0.367104539,22.3,6.3,35.1,28.8,29.88320093,-27.88306875,11.5,32.7,21.2,,,,,,
EPN,EJE125-M1,0.259125696,0.057167081,25.9,7.7,43.4,35.7,3.843585039,-1.663325367,14.6,38.2,23.6,,,,,,
EPN,EJE126-M1,0.30238912,0.059213092,28,9.2,46.6,37.4,5.993682026,-4.648797107,14.1,41.4,27.3,,,,,,
EPN,JSR012-M1,2.256772883,0.484521514,41.9,10.5,70.2,59.7,22.39490555,-11.80232568,14.2,58.2,44,,,,,,
EPN,JSR013-M1,1.64507108,0.220928059,27.9,9.1,45.1,36,19.97972341,-8.479652089,9.9,35.8,25.9,,,,,,
EPN,JSR037-M1,2.415251518,0.274476139,42.5,12,66.8,54.8,14.57222573,-9.29440899,15.3,58,42.7,,,,,,